Id,What is your age?,What is your gender?,What best describes your relationship status?,"On a scale of 1-15, 1 being not religious at all, and 15 being very religious, please identify how religious you are:",What is your highest level of education?,What is your gross annual household income?,What country/culture do you most identify with? (ex. Canada/Canadian),"On a scale of 1-15, 1 being not at all and 15 being completely, how important is having children to you?",10) What is your ideal number of children?,How many biological children do you have?,How many biological siblings do you have?,"On a scale of 1-15 (1 being no influence, 15 being very influential) how much influence do you have over family planning decisions?",Rank the factors that most influence your decision to have biological children and rank them from 1- 8 (1 being most influential and 8 being least influential):,Standardized_Religion
123,70+,Male,Single,1,PhD,"Above $300,000",Canada,12,Two,Zero,One,6,Personal Choice;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Personal Health;Employment Status;Religion,Atheist
200,0-18,Male,Single,8,No High School Diploma,"$50,000 � $74,999",Korean ,12,Two,Zero,One,6,Income;Religion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Christian
272,19-24,Male,Single,1,High School Diploma,"$100,000 � $149,999",Brazil/Brazilian,12,Two,Zero,One,8,Relationship Status (or lack thereof);Significant Other�s Opinion;Income;Employment Status;Personal Health;Time/Help Availability;Personal Choice;Religion,Atheist
62,35-39,Female,Married,13,Bachelor,"$150,000 � $199,999",Canada,12,Five,Five,Seven or more,15,Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Income;Personal Health;Time/Help Availability;Employment Status;Religion;,Christian
50,55-59,Female,Married,10,Master,,Canadian,12,Three,One,Three,12,Personal Health;Relationship Status (or lack thereof);Religion;Income;Employment Status;Personal Choice;Significant Other�s Opinion;Time/Help Availability;,Christian
77,19-24,Female,Single,2,High School Diploma,"$75,000 � $99,999",Canadian,12,Two,Zero,Three,12,Personal Health;Income;Time/Help Availability;Employment Status;Significant Other�s Opinion;Personal Choice;Religion;Relationship Status (or lack thereof);,Christian
134,35-39,Female,Married,3,Bachelor,"$50,000 � $74,999",Hong Kong,12,Two,Two,Three,14,Personal Health;Personal Choice;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Significant Other�s Opinion;Religion,Agnostic
56,19-24,Male,Single,12,Bachelor,"$100,000 � $149,999",Canada,12,Three,Zero,Three,7,Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Employment Status;Personal Choice;Time/Help Availability;Religion;Personal Health;,Christian
160,30-34,Female,Married,10,Bachelor,"$100,000 � $149,999",Canadian,12,Two,One,Two,13,Relationship Status (or lack thereof);Income;Employment Status;Time/Help Availability;Personal Health;Significant Other�s Opinion;Personal Choice;Religion,Christian
30,40-44,Male,Married,1,High School Diploma,"$200,000 � $249,999",Canada,12,Two,Two,Two,15,Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Income;Employment Status;Religion;,Catholic
201,35-39,Male,Married,5,Trades: Red Seal,"$100,000 � $149,999",canadian,12,Two,Zero,Two,3,Personal Health;Income;Employment Status;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Religion,Christian
109,50-54,Female,Separated,10,Master,"Under $50,000",Korean,12,Three,Two,Two,7,Religion;Relationship Status (or lack thereof);Time/Help Availability;Personal Choice;Personal Health;Employment Status;Income;Significant Other�s Opinion,Christian
179,55-59,Male,Separated,7,Trades: Apprentice,"$100,000 � $149,999",Canada,12,Three,Two,Zero,1,Relationship Status (or lack thereof);Personal Health;Income;Employment Status;Religion;Time/Help Availability;Personal Choice;Significant Other�s Opinion,Christian
190,45-49,Female,Married,10,High School Diploma,,,12,Two,One,Zero,10,Personal Health;Income;Time/Help Availability;Relationship Status (or lack thereof);Religion;Personal Choice;Employment Status;Significant Other�s Opinion,Christian
186,25-29,Male,Single,1,Bachelor,"Under $50,000",Korea/Korean,12,Three,Zero,Zero,12,Relationship Status (or lack thereof);Income;Employment Status;Personal Health;Personal Choice;Significant Other�s Opinion;Time/Help Availability;Religion,Atheist
302,25-29,Male,Single,12,High School Diploma,"$100,000 � $149,999",Serbian/Canadian,12,Two,Zero,Two,10,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Employment Status;Religion;Income,Christian
309,45-49,Female,Married,14,Bachelor,"$75,000 � $99,999",Philippines ,12,Three,Three,Three,15,Personal Choice;Personal Health;Significant Other�s Opinion;Religion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability,Catholic
325,40-44,Female,Married,1,High School Diploma,"$100,000 � $149,999",Canadian,12,One,One,Two,10,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Income;Employment Status;Time/Help Availability;Religion,Atheist
78,25-29,Female,Single,10,Master,"Under $50,000",Indian,13,Three,Zero,One,11,Personal Health;Religion;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Choice;Income;Employment Status;,Muslim/Islam
137,0-18,Female,In a relationship,3,No High School Diploma,"$50,000 � $74,999",Canadian,13,Two,Zero,One,13,Income;Employment Status;Relationship Status (or lack thereof);Religion;Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion,Muslim/Islam
32,25-29,Female,Single,9,High School Diploma,"$100,000 � $149,999",Canada ,13,Four,Zero,One,15,Personal Choice;Income;Employment Status;Time/Help Availability;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;,Sikh
47,0-18,Male,Single,11,No High School Diploma,"$250,000 � $299,999",Canadian,13,Two,Zero,Two,10,Income;Religion;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Time/Help Availability;Personal Health;,Christian
245,0-18,Male,In a relationship,7,No High School Diploma,"$50,000 � $74,999",Canadian,13,Two,Zero,Two,11,Significant Other�s Opinion;Time/Help Availability;Personal Choice;Income;Employment Status;Personal Health;Relationship Status (or lack thereof);Religion,Christian
212,35-39,Female,Married,1,High School Diploma,"$150,000 � $199,999",Canadian ,13,Two,Two,Two,13,Personal Health;Religion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Income;Time/Help Availability,Atheist
265,0-18,Male,Single,10,No High School Diploma,,Korea,13,Two,Zero,Two,7,Relationship Status (or lack thereof);Income;Employment Status;Religion;Significant Other�s Opinion;Personal Health;Time/Help Availability;Personal Choice,Christian
172,45-49,Male,Married,5,Master,"$150,000 � $199,999",Canada,13,Three,Three,Zero,12,Personal Choice;Significant Other�s Opinion;Income;Relationship Status (or lack thereof);Personal Health;Employment Status;Time/Help Availability;Religion,
269,70+,Female,Married,12,High School Diploma,,South Korean ,14,Two,Two,Five,,,Christian
110,19-24,Female,In a relationship,6,High School Diploma,"$150,000 � $199,999",Costa Rican (Hispanic/latin),14,Six,Zero,Four,3,Personal Choice;Personal Health;Relationship Status (or lack thereof);Income;Significant Other�s Opinion;Time/Help Availability;Employment Status;Religion,Spiritual
155,40-44,Male,Married,13,Trades: Journeyman,"$250,000 � $299,999",Canada,14,Three,Three,One,12,Personal Choice;Significant Other�s Opinion;Religion;Income;Relationship Status (or lack thereof);Employment Status;Personal Health;Time/Help Availability,Christian
92,35-39,Male,Married,14,Master,"$100,000 � $149,999",Canada,14,Seven or more,Zero,One,14,Income;Employment Status;Religion;Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Personal Health;Time/Help Availability;,Hindu
96,50-54,Female,Married,12,Bachelor,"$100,000 � $149,999",Korean,14,Three,Two,One,15,Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Religion;Employment Status;Time/Help Availability;Personal Choice;,Christian
61,19-24,Female,Single,10,High School Diploma,"$75,000 � $99,999",Canadian,14,Two,Zero,Two,14,Significant Other�s Opinion;Religion;Employment Status;Income;Time/Help Availability;Personal Health;Personal Choice;Relationship Status (or lack thereof);,Christian
115,45-49,Female,In a relationship,1,Bachelor,"$100,000 � $149,999",Canada,14,Three,Three,Two,15,Personal Choice;Relationship Status (or lack thereof);Personal Health;Employment Status;Income;Time/Help Availability;Significant Other�s Opinion;Religion,Agnostic
58,19-24,Female,Separated,8,High School Diploma,"Under $50,000",Canada,14,Two,Four,Zero,11,Income;Personal Choice;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;Personal Health;,Christian
86,40-44,Male,Married,13,Bachelor,"$75,000 � $99,999",Philippines,15,Two,One,Five,15,Personal Choice;Relationship Status (or lack thereof);Employment Status;Significant Other�s Opinion;Personal Health;Time/Help Availability;Religion;Income;,Catholic
131,50-54,Female,Separated,1,Bachelor,"Under $50,000",Canada/Canadian,15,Two,Two,Five,15,Personal Choice;Significant Other�s Opinion;Personal Health;Time/Help Availability;Income;Employment Status;Relationship Status (or lack thereof);Religion,None
29,35-39,Female,Single,1,High School Diploma,"$50,000 � $74,999",Canadian/british,15,Two,One,Four,15,Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion;Employment Status;Income;Religion;,Atheist
55,60-64,Female,Married,15,Master,"$100,000 � $149,999",Canada,15,Two,Two,Four,15,Employment Status;Income;Religion;Relationship Status (or lack thereof);Personal Health;Personal Choice;Time/Help Availability;Significant Other�s Opinion;,Catholic
152,25-29,Female,Single,5,High School Diploma,"$75,000 � $99,999",Canada,15,Three,Three,Four,15,Employment Status;Income;Time/Help Availability;Personal Choice;Personal Health;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion,Christian
227,65-69,Female,Married,13,Master,,Canada,15,Three,Zero,Four,15,Personal Health;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Employment Status;Religion;Income;Time/Help Availability,Christian
249,70+,Female,Widow,1,Bachelor,"$75,000 � $99,999",Canada,15,Three,Three,Four,15,,
63,50-54,Male,In a relationship,1,High School Diploma,"$100,000 � $149,999",Canadian,15,One,One,One,1,Income;Religion;Employment Status;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;,Atheist
43,0-18,Male,Single,15,No High School Diploma,,,15,Two,Zero,One,10,Religion;Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;,
103,35-39,Female,Separated,10,Bachelor,"$50,000 � $74,999",Canadian,15,Three,Three,One,10,Income;Employment Status;Time/Help Availability;Personal Choice;Personal Health;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion,Christian
122,0-18,Female,In a relationship,1,No High School Diploma,"Under $50,000",Canadian,15,Two,Zero,One,10,Personal Choice;Significant Other�s Opinion;Personal Health;Employment Status;Income;Time/Help Availability;Relationship Status (or lack thereof);Religion,
165,30-34,Female,Married,8,High School Diploma,"$100,000 � $149,999",Canada/ Indian ,15,Two,One,One,10,Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Employment Status;Significant Other�s Opinion;Religion;Income,Muslim/Islam
183,19-24,Male,In a relationship,2,High School Diploma,"Under $50,000",Canadian ,15,Two,Zero,One,10,Income;Personal Choice;Relationship Status (or lack thereof);Personal Health;Religion;Employment Status;Time/Help Availability;Significant Other�s Opinion,Jewish
